1959,Fashion Model,
1960,Fashion Designer,
1960,Singer,
1961,Ballerina,
1961,Flight Attendant,
1961,Nurse,
1963,Babysitter,accessories Only
1963,Business Executive,
1963,Cheerleader,
1964,Cheerleader,clothing Pack Only
1964,Candy Striper,clothing Pack Only
1964,Drum Majorette,
1965,Astronaut,
1965,Fashion Editor,
1965,Student Teacher,
1966,Flight Attendant,
1973,Flight Attendant,clothing Pack Only
1973,Surgeon,
1974,Olympic Gymnast,
1975,Olympic Figure Skater,
1975,Olympic Skier,
1975,Olympic Swimmer,
1976,Ballerina,
1976,Babysitter,accessories Only
1976,Equestrian,
1977,Actress,
1977,Olympic Swimmer,
1979,Tennis Player,
1980,Actress,
1982,Mcdonald's Cashier,playset
1982,Makeup Department Worker,playset
1982,Fashion Department Worker,playset
1984,Aerobics Instructor,
1984,Ballerina,
1985,Astronaut,
1985,Business Executive,
1985,Veterinarian,
1986,Rock Star,
1986,Singer,
1986,Travel Agent,playset
1987,Canadian Mountie,
1987,Crepe Shop Worker,
1987,Game Show Host,playset
1987,Ice Cream Cart Owner,
1987,Maid,
1987,Singer,
1988,Actress,
1988,Candy And Ice Cream Parlor Worker,
1988,Doctor,
1988,Olympic Figure Skater,
1988,Singer,
1989,Ice Cream Shop Worker,
1989,Pianist,
1989,Pilot,
1989,Rock Star,
1989,United States Army Officer,
1989,Unicef Ambassador,
1990,Figure Skater,
1990,Restaurant Owner,
1990,Singer,
1991,Ballroom Dancer,
1991,Chef,clothing Pack Only
1991,School Teacher,
1991,United States Air Force Pilot,
1991,United States Marine Corps Sergeant,
1992,Beach Snack Stand Worker,playset
1992,Business Executive,
1992,Cheerleader,
1992,Fashion Designer,clothing Pack Only
1992,Rapper,
1992,Rockette,
1992,Supermarket Cashier,playset
1992,United States Army Officer,
1992,United States Presidential Candidate,
1992,Veterinarian,
1993,Army Medic,
1993,Baseball Player,
1993,Doctor,
1993,Firefighter,clothing Pack Only
1993,Gymnast,
1993,Jillaroo,
1993,Police Officer,
1993,School Teacher,clothing Pack Only
1993,United States Air Force Thunderbirds Pilot,
1993,Veterinarian,clothing Pack Only
1994,Actress,
1994,Astronaut,
1994,Country Western Singer,
1994,Lifeguard,
1994,Mcdonald's Cashier,playset
1994,Pet Groomer,playset
1994,Scuba Diver,
1995,African Safari Guide,clothing Pack Only
1995,Ballerina,clothing Pack Only
1995,Chef,clothing Pack Only
1995,Circus Performer,
1995,Doctor,
1995,Elementary School Teacher,
1995,Fashion Designer,
1995,Firefighter,
1995,Nurse,
1995,Olympic Gymnast,
1995,Pediatrician,
1995,Pilot,
1995,Singer,
1995,Superhero,
1996,Chef,clothing Pack Only
1996,Doctor,
1996,Figure Skater,
1996,Paleontologist,
1996,Palmer's Clothing Store Employee,
1996,Pediatrician,playset
1996,Shopkeeper,
1996,Singer,
1996,Starfleet Security Officer,
1997,Astronaut,clothing Pack Only
1997,Country Western Singer,
1997,Cowgirl,
1997,Dentist,
1997,Elementary School Teacher,
1997,Japan Airlines Flight Attendant,
1997,Olympic Figure Skater,
1997,Pilot,
1997,Preschool Teacher,playset
1997,Tennis Player,clothing Pack Only
1998,Bake Shop Worker,
1998,Carriage Driver,
1998,Country Western Singer,
1998,Ice Cream Shop Worker,playset
1998,Mlb Player,
1998,Nascar Driver,
1998,Nba Player,
1998,Rock Star,
1998,Soccer Player,
1998,Soda Fountain Waitress,
1998,Wnba Player,
1999,Actress,
1999,Avon Representative,
1999,Business Executive,
1999,Country Western Singer,
1999,Detective,
1999,Fashion Trend Forecaster,
1999,Florist,
1999,Matador,
1999,Nascar Driver,
1999,Outdoor Beauty Store Worker,
1999,Pilot,
1999,Rock Star,
1999,See's Candies Cashier,
1999,Sign Language Teacher,
1999,Soccer Player,
1999,Tour Guide,
2000,Actress,
2000,Bowler,
2000,Cheerleader,
2000,Elementary School Teacher,
2000,Fashion Editor,
2000,Fashion Model,
2000,Figure Skater,
2000,Formula One Driver,
2000,Lute Player,
2000,Olympic Swimmer,
2000,Pediatrician,
2000,Spanish Language Teacher,
2000,United States Presidential Candidate,
2001,Actress,
2001,Fashion Designer,
2001,Fashion Model,
2001,Mcdonald's Cashier,
2001,Pediatrician,
2001,Pizza Hut Cashier,playset
2001,Train Conductor,
2001,Train Hostess,
2001,United States Air Force Pilot,
2002,Actress,
2002,Art Teacher,
2002,Drum Majorette,
2002,Fashion Designer,
2002,Fashion Model,
2002,Olympic Figure Skater,
2002,Outdoor Beauty Store Worker,
2002,Pop Singer,
2002,Singer,
2002,Spy,
2003,Actress,
2003,Dentist,
2003,Fashion Model,
2003,Pediatrician,
2004,Actress,
2004,Bard,
2004,Cowgirl,
2004,Fashion Model,
2004,United States Presidential Candidate,
2005,Fashion Model,
2005,Film Producer,
2005,Veterinarian,
2006,Ballerina,
2006,Bake Shop Worker,
2006,Business Executive,
2006,Cheerleader,
2006,Fashion Model,
2006,Flight Attendant,
2006,Lounge Singer,
2006,Maid,
2006,Nurse,
2006,Pediatrician,
2006,School Teacher,
2006,Veterinarian,
2006,Waitress,
2007,Art Teacher,
2007,Ballet Teacher,
2007,Cabaret Dancer,
2007,Cheerleader,
2007,Elementary School Teacher,
2007,Fashion Model,
2007,Jazz Singer,
2007,Make-up Artist,
2007,Secretary,
2007,Usher,
2008,Actress,
2008,Artist,
2008,Baby Photographer,
2008,Elementary School Teacher,
2008,Fashion Model,
2008,Pediatrician,
2008,Pet Boutique Owner,
2008,Showgirl,
2008,Swim Teacher,
2008,United States Presidential Candidate,
2008,Veterinarian,
2009,Actress,
2009,Ballerina,
2009,Can-can Dancer,
2009,Cat Burglar,
2009,Fashion Model,
2009,Gymnastics Coach,
2009,Nurse,
2009,Pizza Chef,
2009,Preschool Teacher,
2009,Seaworld Trainer,
2009,Student Teacher,
2009,Tv Chef,
2010,Actress,
2010,Architect,
2010,Astronaut,
2010,Babysitter,
2010,Ballerina,
2010,Ballet Teacher,
2010,Cheerleader,
2010,Chef,
2010,Circus Performer,
2010,Computer Engineer,
2010,Cooking Teacher,
2010,Dentist,
2010,Doctor,
2010,Elementary School Teacher,
2010,Equestrian,clothing Pack Only
2010,Fashion Model,
2010,Flight Attendant,
2010,Pediatrician,
2010,Pop Singer,
2010,News Anchor,
2010,Nurse,
2010,Race Car Driver,
2010,Rock Star,
2010,School Teacher,
2010,Veterinarian,
2010,Wild Animal Trainer,clothing Pack Only
2011,Art Teacher,
2011,Can-can Dancer,
2011,Cheerleader,clothing Pack Only
2011,Dancer,
2011,Elementary School Teacher,
2011,Fashion Model,
2011,Figure Skater,clothing Pack Only
2011,Firefighter,clothing Pack Only
2011,Flight Attendant,clothing Pack Only
2011,Gymnast,clothing Pack Only
2011,Lifeguard,
2011,Nurse,
2011,Pediatrician,
2011,Pilot,clothing Pack Only
2011,Police Officer,clothing Pack Only
2011,Skier,
2011,Soccer Player,
2012,Actress,
2012,Arctic Animal Rescuer,
2012,Artist,
2012,Astronaut,clothing Pack Only
2012,Ballerina,
2012,Doctor,
2012,Fashion Designer,
2012,Fashion Model,
2012,Fashion Photographer,
2012,Figure Skater,
2012,Flight Attendant,
2012,Floral Designer,
2012,Gymnast,
2012,Marine Biologist,clothing Pack Only
2012,Martial Artist,clothing Pack Only
2012,Music Teacher,clothing Pack Only
2012,Nurse,
2012,Paleontologist,
2012,Pancake Chef,
2012,Pilot,
2012,Preschool Teacher,
2012,Skier,
2012,Snowboarder,
2012,Swimmer,
2012,Tennis Player,
2012,Track-and-field Runner,
2012,United States Presidential Candidate,
2012,Veterinarian,
2012,Waiter,clothing Pack Only
2012,Yoga Teacher,
2013,Actress,
2013,Art Teacher,clothing Pack Only
2013,Astronaut,
2013,Babysitter,
2013,Canadian Mountie,
2013,Cheerleader,
2013,Dessert Chef,
2013,Doctor,
2013,Dolphin Trainer,
2013,Elementary School Teacher,
2013,Seaworld Trainer,
2013,Fashion Model,
2013,Gymnastics Coach,
2013,Make-up Artist,
2013,Marine Wildlife Rescuer,
2013,Pediatrician,
2013,Pet Groomer,
2013,Rock Star,
2013,Singer,
2013,Soccer Player,
2013,Sweet Chef,
2013,Violinist,
2014,Astronaut,clothing Pack Only
2014,Babysitter,
2014,Ballerina,
2014,Ballroom Dancer,
2014,Cake Baker,
2014,Cheerleader,
2014,Cookie Chef,
2014,Detective,
2014,Entrepreneur,
2014,Fashion Model,
2014,Figure Skater,clothing Pack Only
2014,Hair Stylist,
2014,Lifeguard,clothing Pack Only
2014,Music Teacher,
2014,Nurse,
2014,Pastry Chef,clothing Pack Only
2014,Pilot,
2014,Soccer Player,
2014,Tennis Player,
2014,Veterinarian,
2015,Babysitter,
2015,Ballerina,
2015,Cupcake Chef,
2015,Dentist,
2015,Doctor,
2015,Eye Doctor,
2015,Elementary School Teacher,
2015,Fashion Designer,clothing Pack Only
2015,Fashion Model,
2015,Figure Skater,
2015,Film Director,
2015,Firefighter,
2015,Gymnast,
2015,Hair Stylist,
2015,Lifeguard,
2015,Nurse,clothing Pack Only
2015,Pediatrician,
2015,Pilot,
2015,Rock Star,
2015,Soccer Player,
2015,Spy,
2015,Veterinarian,
2016,Animal Rescuer,
2016,Fashion Model,
2016,Game Developer,
2016,Gymnastics Coach,
2016,Pediatrician,
2016,Smoothie Chef,
2016,United States Presidential Candidate,
2016,United States Vice Presidential Candidate,
2016,Veterinarian,
2017,Astronaut,
2017,Ballet Teacher,
2017,English Language Teacher,
2017,Eye Doctor,
2017,Fashion Model,
2017,Martial Artist,
2017,Musician,
2017,Nurse,
2017,Rhythmic Gymnast,
2017,Skateboarder,
2017,Space Scientist,
2017,Spaghetti Chef,
2017,Tennis Coach,
2017,Waiter,
2018,Artist,
2018,Bakery Chef,
2018,Baseball Player,
2018,Basketball Player,
2018,Bee Keeper,
2018,Business Executive,
2018,Chemist,
2018,Elementary School Teacher,
2018,Farmer,
2018,Fashion Model,
2018,Golfer,clothing Pack Only
2018,Grocery Store Worker,
2018,Robotics Engineer,
2018,Saxophonist,clothing Pack Only
2018,Tv News Camerawoman,
2019,Aircraft Engineer,
2019,Astrophysicist,
2019,Cake Baker,
2019,Chef,
2019,Chicken Farmer,
2019,Dentist,
2019,Doctor,
2019,Dog Daycare Owner,
2019,Entomologist,
2019,Fashion Model,
2019,Figure Skating Coach,
2019,Flight Attendant,
2019,Gymnastics Coach,
2019,Musician,
2019,Music Teacher,
2019,Judge,
2019,News Anchor,
2019,Photojournalist,
2019,Pilot,
2019,Pizza Chef,
2019,Polar Marine Biologist,
2019,Pop Singer,
2019,School Teacher,
2019,Soccer Coach,
2019,Swimmer,
2019,Wildlife Conservationist,
2020,Art Teacher,
2020,Boxer,
2020,Business Executive,clothing Pack Only
2020,Campaign Manager,
2020,Campaign Fundraiser,
2020,Chef,
2020,Coffee Shop Worker,
2020,Construction Worker,clothing Pack Only
2020,Doctor,
2020,Farmer,playset
2020,Fashion Model,
2020,Food Truck Operator,
2020,Gymnast,
2020,Hockey Player,
2020,Musician,clothing Pack Only
2020,Noodle Bar Worker,
2020,Olympic Climber,
2020,Olympic Karate,
2020,Olympic Skateboarder,
2020,Olympic Softball Player,
2020,Olympic Surfer,
2020,Park Ranger,
2020,Pediatrician,
2020,Pet Groomer,clothing Pack Only
2020,Tennis Player,
2020,Volleyball Player,
2021,Astronaut,
2021,Bakery Chef,
2021,Beach Snack Stand Worker,
2021,Business Executive,
2021,Doctor,
2021,Figure Skater,clothing Pack Only
2021,Firefighter,
2021,Florist,
2021,Hair Stylist,
2021,Hockey Player,
2021,Keyboardist,
2021,Lifeguard,
2021,Music Producer,
2021,Olympic Swimmer,
2021,Paramedic,
2021,Pasta Chef,
2021,Pilot,clothing Pack Only
2021,Restaurant Owner,
2021,Rhythmic Gymnast,
2021,Rock Star,
2021,School Teacher,clothing Pack Only
2021,Science Teacher,
2021,Smoothie Bar Worker,
2021,Veterinarian,
2021,Violinist,clothing Pack Only
2021,Wilderness Guide,
2021,Zoologist,
2022,Actress,
2022,Artist,
2022,Chef,clothing Pack Only
2022,Chief Sustainability Officer,
2022,Conservation Scientist,
2022,Elementary School Teacher,
2022,Farmer,
2022,Farmer's Market Stall Owner,
2022,Fashion Designer,
2022,Fashion Model,
2022,Figure Skater,
2022,Interior Designer,
2022,Make-up Artist,
2022,Marine Biologist,
2022,Microbiologist,
2022,Musician,
2022,Para Alpine Skier,
2022,Pet Photographer,
2022,Pilot,
2022,Renewable Energy Engineer,
2022,Snowboarder,
2022,Soccer Player,
2022,Tennis Player,
2022,Tooth Fairy,
2023,Astronaut,
2023,Coach,
2023,Dentist,
2023,Fashion Boutique Owner,
2023,Figure Skater,
2023,General Manager,
2023,Gymnast,
2023,Lifeguard,
2023,Livestock Veterinarian,
2023,Math Teacher,
2023,Panda Rescuer,
2023,Pastry Chef,
2023,Pop Star,
2023,Referee,
2023,Singer,
2023,Soccer Player,
2023,Sports Reporter,
2023,Stylist,
2023,Swimmer,
2023,Tennis Player,
2023,United States President,
2023,Volleyball Player,
2023,Wardrobe Stylist,
1991,United States Navy Petty Officer,
